procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 389126880      0 360544    0    0     2     1    0    0  0  0 100  0  0
 0  0      0 389069472      0 405440    0    0 45240     0 3629 3895  0  0 100  0  0
 1  0      0 389076480      0 405504    0    0    56   928 6853 4256  0  1 99  0  0
 3  0      0 389028096      0 446436    0    0 41004     8 7153 5344  1  0 98  0  0
 2  0      0 388999232      0 463092    0    0 18812    92 5179 6913  3  0 97  0  0
 2  0      0 388910784      0 475480    0    0 14052    32 4064 5478  2  0 97  0  0
 0  0      0 388879776      0 478608    0    0  2760     4 1675 1354  1  0 99  0  0
58  0      0 388786336      0 485696    0    0  6892   632 8831 122959  3  1 96  0  0
41  0      0 388781088      0 486260    0    0   656    12 21809 525250  6  3 91  0  0
66  0      0 388776064      0 486604    0    0    32     0 19936 216853  6  3 91  0  0
51  0      0 388773568      0 486888    0    0   276     4 18674 244154  6  2 92  0  0
84  0      0 388768032      0 486916    0    0   200    44 22534 485382  5  3 92  0  0
53  0      0 388771072      0 487252    0    0   148    12 18923 608389  4  3 93  0  0
 7  0      0 388761888      0 487264    0    0     4    68 15544 308674  5  2 93  0  0
22  0      0 388759648      0 487272    0    0     0    96 17995 1046586  4  3 93  0  0
57  0      0 388765824      0 487280    0    0     0     0 18683 332383  5  2 93  0  0
64  0      0 388766816      0 487332    0    0    52     4 15141 379792  5  2 93  0  0
38  0      0 388776288      0 487332    0    0     0    40 18300 681784  4  3 93  0  0
24  0      0 388778656      0 487396    0    0    64     4 15056 369738  5  2 93  0  0
55  0      0 388776928      0 489436    0    0    20     0 20043 865660  4  3 93  0  0
86  0      0 388777472      0 489436    0    0     0    16 19210 342021  5  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
80  0      0 388757120      0 489436    0    0     0     0 19121 525856  5  3 93  0  0
12  0      0 388760160      0 489436    0    0     0     4 16363 332395  5  2 93  0  0
37  0      0 388760736      0 489532    0    0    96    40 15971 543398  4  3 93  0  0
23  0      0 388763264      0 489532    0    0     4   544 15985 484653  5  2 93  0  0
62  0      0 388774720      0 489532    0    0    32     0 18961 338124  5  3 93  0  0
10  0      0 388777216      0 490164    0    0     0    16 16109 1184933  4  3 93  0  0
42  0      0 388773440      0 490172    0    0     0     0 21429 469291  5  2 93  0  0
29  0      0 388770016      0 490180    0    0     8    20 17471 811451  4  3 93  0  0
43  0      0 388770528      0 490260    0    0     0    44 18196 924160  4  3 93  0  0
46  0      0 388775552      0 490264    0    0     0     4 22263 747631  4  3 93  0  0
40  0      0 388778080      0 490276    0    0     0     0 17260 685879  4  3 93  0  0
61  0      0 388786912      0 490284    0    0     0    20 17938 505076  5  3 93  0  0
75  0      0 388776352      0 490292    0    0     0     0 22810 501128  5  3 93  0  0
55  0      0 388772352      0 490356    0    0    56    76 17547 730953  4  3 93  0  0
30  0      0 388774144      0 490364    0    0     0    40 19691 508193  5  3 93  0  0
88  0      0 388785600      0 490444    0    0    72     4 16861 536394  5  3 93  0  0
 8  0      0 388789920      0 490444    0    0     0    16 16305 566804  5  3 93  0  0
11  0      0 388797632      0 490512    0    0    68     4 14455 134977  5  2 93  0  0
58  0      0 388801952      0 490512    0    0    36   304 18249 310003  5  2 93  0  0
36  0      0 388806720      0 490512    0    0     0     4 17498 826689  4  3 93  0  0
58  0      0 388793664      0 490512    0    0     0    44 19191 539265  4  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
48  0      0 388799744      0 490512    0    0     0     4 18938 588602  4  3 93  0  0
26  0      0 388805632      0 490512    0    0     0     0 20366 480921  5  3 93  0  0
81  0      0 388808608      0 490512    0    0     0   468 17912 743385  4  3 93  0  0
40  0      0 388812640      0 490512    0    0     0   316 20548 556874  4  3 93  0  0
69  0      0 388806368      0 490496    0    0     0     8 23202 605234  4  3 93  0  0
70  0      0 388795712      0 490664    0    0     0    40 16368 502514  5  3 93  0  0
39  0      0 388794624      0 490672    0    0     0     8 15934 622258  4  3 93  0  0
42  0      0 388801248      0 490748    0    0     0     0 17274 538760  4  3 93  0  0
34  0      0 388807296      0 490660    0    0     0    16 17608 256879  5  2 93  0  0
11  0      0 388820512      0 490668    0    0     0     0 16138 726617  4  3 93  0  0
61  0      0 388824320      0 490676    0    0    16     4 18655 582864  5  3 93  0  0
38  0      0 388826848      0 490684    0    0     0    40 16886 499321  4  2 93  0  0
37  0      0 388822336      0 490692    0    0     0    76 19121 476786  5  3 93  0  0
11  0      0 388829152      0 490736    0    0    32    16 14609 249699  5  2 93  0  0
 6  0      0 388839040      0 490744    0    0     0     0 13374 83938  5  2 93  0  0
 1  0      0 388840736      0 490752    0    0     0     4 16978 275559  5  2 93  0  0
31  0      0 388844032      0 490764    0    0    20     4 21657 917540  4  3 93  0  0
76  0      0 388823392      0 490844    0    0     0    44 20498 833487  4  3 93  0  0
33  0      0 388815680      0 490852    0    0     0     4 16377 893219  4  3 93  0  0
 2  0      0 388814080      0 490860    0    0     0    16 16761 1341887  4  3 93  0  0
46  0      0 388820448      0 490868    0    0     0     0 18525 817111  4  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
27  0      0 388828128      0 490876    0    0     0     0 14127 131576  5  2 93  0  0
38  0      0 388834176      0 490888    0    0     0    84 17869 560877  4  3 93  0  0
16  0      0 388835008      0 490892    0    0     0    40 17193 635298  4  3 93  0  0
21  0      0 388840608      0 490904    0    0     0     4 14430 232298  5  2 93  0  0
36  0      0 388840864      0 490908    0    0     0     0 17941 958665  4  3 93  0  0
23  0      0 388829568      0 490908    0    0     0    16 19576 542431  4  3 93  0  0
35  0      0 388815968      0 490976    0    0     0     0 17417 602017  5  3 93  0  0
16  0      0 388827616      0 490976    0    0     0    16 17324 514864  4  3 93  0  0
19  0      0 388835616      0 490976    0    0     0    44 18368 268864  5  2 93  0  0
78  0      0 388838912      0 490976    0    0     0     4 18693 801659  4  3 93  0  0
10  0      0 388831616      0 490976    0    0     0     0 18984 435189  5  2 93  0  0
44  0      0 388826016      0 490976    0    0     0   272 19926 779031  4  3 93  0  0
44  0      0 388828320      0 490976    0    0     0     8 15913 489899  5  2 93  0  0
63  0      0 388832608      0 490976    0    0     0     4 21027 584105  4  3 93  0  0
53  0      0 388826464      0 490976    0    0     0    40 17756 805660  4  3 93  0  0
18  0      0 388835648      0 491060    0    0     0     4 16313 180826  5  2 93  0  0
30  0      0 388834272      0 491068    0    0     0    16 21660 789735  4  3 93  0  0
15  0      0 388837856      0 491080    0    0     0     0 13609 82833  5  2 93  0  0
 5  0      0 388841376      0 491084    0    0     0     0 18330 489592  5  2 93  0  0
23  0      0 388830176      0 491096    0    0     0     4 18459 500001  5  2 93  0  0
54  0      0 388826912      0 491104    0    0     0    40 23226 577958  4  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
34  0      0 388817248      0 491112    0    0     0     4 18379 663914  4  3 93  0  0
32  0      0 388823136      0 491120    0    0     0   508 15406 109537  5  2 93  0  0
56  0      0 388826976      0 491132    0    0     0    20 18419 1061816  4  3 93  0  0
59  0      0 388826016      0 491208    0    0     0     0 20559 1035566  4  3 93  0  0
18  0      0 388831680      0 491212    0    0     0     4 15689 455991  5  2 93  0  0
28  0      0 388840480      0 491792    0    0    36    44 18093 721340  4  3 93  0  0
25  0      0 388851776      0 491832    0    0     0     8 14000 85286  5  2 93  0  0
 1  0      0 388842976      0 491848    0    0     0     0 17600 626340  4  3 93  0  0
10  0      0 388837184      0 491852    0    0     0    16 23102 510830  5  3 93  0  0
 5  0      0 388851104      0 491864    0    0     0     4 14141 250330  5  2 93  0  0
 1  0      0 388856064      0 491868    0    0     0    84 16261 159017  5  2 93  0  0
20  0      0 388864544      0 491880    0    0     0    40 19552 675173  4  3 93  0  0
 7  0      0 388865568      0 491888    0    0     0     4 17038 745355  4  3 93  0  0
19  0      0 388876320      0 491896    0    0     0     0 14111 119009  5  2 93  0  0
55  0      0 388865504      0 491904    0    0     0    16 16800 174312  5  2 93  0  0
12  0      0 388842688      0 491912    0    0     0     0 18586 334212  5  2 93  0  0
23  0      0 388839200      0 491920    0    0     0    16 16095 647525  5  3 93  0  0
47  0      0 388848032      0 491920    0    0     0    40 17812 607091  4  3 93  0  0
70  0      0 388851392      0 491920    0    0     0     4 20705 949673  4  3 93  0  0
61  0      0 388854208      0 491920    0    0     0    16 19160 1120782  4  3 93  0  0
11  0      0 388855488      0 491920    0    0     0    84 23414 693280  4  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
90  0      0 388859584      0 491920    0    0     0    28 17795 885531  4  3 93  0  0
68  0      0 388857824      0 491920    0    0     0     4 20864 362172  5  2 93  0  0
78  0      0 388825600      0 491920    0    0     0    44 20815 294865  5  2 93  0  0
43  0      0 388823840      0 491920    0    0     0     4 18926 702769  4  3 93  0  0
28  0      0 388829152      0 491920    0    0     0     0 18676 381428  5  3 93  0  0
82  0      0 388832288      0 492140    0    0     0    16 19682 550862  5  3 93  0  0
13  0      0 388835616      0 492148    0    0     0     0 20092 286401  5  3 93  0  0
56  0      0 388850112      0 492160    0    0     0     4 14231 118541  5  2 93  0  0
53  0      0 388853472      0 492164    0    0     0    40 18185 1420262  4  3 93  0  0
 8  0      0 388864256      0 492176    0    0     0    76 16159 405275  4  2 93  0  0
57  0      0 388871168      0 492180    0    0     0     0 16261 332700  5  2 93  0  0
47  0      0 388864704      0 492192    0    0     0    16 16472 253056  5  2 93  0  0
18  0      0 388868000      0 492196    0    0     0     0 16136 461163  5  3 93  0  0
40  0      0 388878368      0 492208    0    0     0     4 13629 84014  5  2 93  0  0
80  0      0 388882688      0 492288    0    0     0    44 17884 740041  4  3 93  0  0
80  0      0 388863808      0 492296    0    0     0     4 16245 320877  5  2 93  0  0
61  0      0 388862048      0 492304    0    0     0    16 20479 382131  5  2 93  0  0
 1  0      0 388851712      0 492312    0    0     0     0 17398 387743  5  3 93  0  0
48  0      0 388854752      0 492320    0    0     0     0 18530 620558  4  3 93  0  0
17  0      0 388855264      0 492328    0    0     0    84 19955 924051  4  3 93  0  0
57  0      0 388862432      0 492336    0    0     0    40 17164 477071  4  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 388866752      0 492344    0    0     0     4 17442 1305922  4  3 93  0  0
 1  0      0 388868768      0 492352    0    0     0    16 17894 803473  4  3 93  0  0
98  0      0 388876832      0 492364    0    0     0     0 17485 686573  4  3 93  0  0
57  0      0 388870336      0 492372    0    0     0     0 19739 568527  4  3 93  0  0
52  0      0 388849184      0 492384    0    0     0     4 19367 876397  4  3 93  0  0
67  0      0 388841472      0 492452    0    0     0    52 15202 395144  5  2 93  0  0
15  0      0 388848544      0 492452    0    0     0     8 19396 277259  5  2 93  0  0
 0  0      0 388843072      0 492732    0    0    52     0 12196 335323  4  2 95  0  0
 0  0      0 389062592      0 492600    0    0    36   164  441  575  0  0 100  0  0
 0  0      0 389063584      0 492600    0    0     0     8  135  180  0  0 100  0  0
 0  0      0 389063616      0 492600    0    0     0     4  153  183  0  0 100  0  0
 0  0      0 389064096      0 492600    0    0     0    44  167  190  0  0 100  0  0
 0  0      0 389064096      0 492600    0    0     0     4  238  344  0  0 100  0  0
 0  0      0 389064832      0 493096    0    0     0     4  431  338  0  0 100  0  0
 0  0      0 389065088      0 493096    0    0     0    20  165  196  0  0 100  0  0
 0  0      0 389067360      0 493192    0    0     0     0  135  179  0  0 100  0  0
 0  0      0 389067616      0 493200    0    0     0     8  218  320  0  0 100  0  0
 0  0      0 389067872      0 493208    0    0     0    40  174  206  0  0 100  0  0
 0  0      0 389067872      0 493216    0    0     0   512  182  200  0  0 100  0  0
 0  0      0 389068128      0 493224    0    0     0    16  171  188  0  0 100  0  0
 0  0      0 389068384      0 493232    0    0     0     0  259  314  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 389068896      0 493240    0    0     0     0  153  182  0  0 100  0  0
 0  0      0 389069120      0 493248    0    0     0     4  145  186  0  0 100  0  0
 0  0      0 389069632      0 493256    0    0     0    40  450  353  0  0 100  0  0
 0  0      0 389070144      0 493264    0    0     0     4  210  302  0  0 100  0  0
 0  0      0 389071392      0 493276    0    0     0     0  163  184  0  0 100  0  0
 0  0      0 389070912      0 493348    0    0     0    16  156  192  0  0 100  0  0
 0  0      0 389070656      0 493360    0    0     0     0  134  158  0  0 100  0  0
 0  0      0 389070912      0 493364    0    0     0    76  253  336  0  0 100  0  0
 0  0      0 389070912      0 493376    0    0     0    44  170  176  0  0 100  0  0
 0  0      0 389071168      0 493380    0    0     0     4  204  196  0  0 100  0  0
 0  0      0 389071648      0 493392    0    0     0     0  164  184  0  0 100  0  0
 0  0      0 389071648      0 493400    0    0     0    16  238  324  0  0 100  0  0
 0  0      0 389072000      0 493476    0    0     0     0  376  246  0  0 100  0  0
 0  0      0 389072992      0 493484    0    0     0     4  124  170  0  0 100  0  0
 0  0      0 389073248      0 493492    0    0     0    40  126  176  0  0 100  0  0
 0  0      0 389073248      0 493500    0    0     0     4  220  312  0  0 100  0  0
 0  0      0 389074784      0 493508    0    0     0    16  129  186  0  0 100  0  0
 0  0      0 389075520      0 493520    0    0     0   332  227  292  0  0 100  0  0
 2  0      0 389031232      0 494292    0    0   768    12 3484 4814  3  0 96  0  0
 1  0      0 388950336      0 494468    0    0    16     4 3193 3705  3  0 97  0  0
 0  0      0 388914816      0 494476    0    0    20   460 1189  970  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
51  0      0 388909568      0 494616    0    0     0     4 8103 36920  4  1 95  0  0
66  0      0 388921056      0 494700    0    0     0    16 20660 654581  6  3 91  0  0
49  0      0 388928480      0 494708    0    0     0     0 21754 293390  6  2 91  0  0
22  0      0 388917888      0 494716    0    0     0     0 20543 564486  5  3 92  0  0
89  0      0 388924448      0 494724    0    0     0     4 18885 127507  5  2 93  0  0
41  0      0 388926976      0 494736    0    0     0    40 20030 1133684  4  3 93  0  0
56  0      0 388934272      0 494736    0    0     0    88 18528 839733  4  3 93  0  0
 3  0      0 388922944      0 494736    0    0     0     0 22686 706637  5  3 93  0  0
69  0      0 388920832      0 494736    0    0     0    16 15435 369613  5  2 93  0  0
75  0      0 388925440      0 494736    0    0     0     0 16719 521274  4  2 93  0  0
17  0      0 388929920      0 494736    0    0     0     8 14683 218008  5  2 93  0  0
 7  0      0 388947200      0 494736    0    0     0    40 17153 658161  4  3 93  0  0
