Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/28/2026 	_x86_64_	(64 CPU)

06:50:53 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:50:54 AM  1000    405160   46.00   38.00    0.00    0.00   84.00     2  springboot4
06:50:55 AM  1000    405160    2.00    0.00    0.00    0.00    2.00     2  springboot4
06:50:56 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:50:57 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:50:58 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:50:59 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:51:00 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:51:01 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:51:02 AM  1000    405160    1.00    0.00    0.00    0.00    1.00     2  springboot4
06:51:03 AM  1000    405160  101.00   51.00    0.00    0.00  152.00     8  springboot4
06:51:04 AM  1000    405160  277.00   77.00    0.00    0.00  354.00     4  springboot4
06:51:05 AM  1000    405160  234.00  131.00    0.00    0.00  365.00     2  springboot4
06:51:06 AM  1000    405160  248.00  115.00    0.00    0.00  363.00     2  springboot4
06:51:07 AM  1000    405160  281.00   92.00    0.00    0.00  373.00     2  springboot4
06:51:08 AM  1000    405160  232.00  134.00    0.00    0.00  366.00     2  springboot4
06:51:09 AM  1000    405160  292.00   81.00    0.00    0.00  373.00     2  springboot4
06:51:10 AM  1000    405160  307.00   57.00    0.00    0.00  364.00     2  springboot4
06:51:11 AM  1000    405160  315.00   57.00    0.00    0.00  372.00     2  springboot4
06:51:12 AM  1000    405160  303.00   61.00    0.00    0.00  364.00     2  springboot4
06:51:13 AM  1000    405160  273.00  102.00    0.00    0.00  375.00     2  springboot4
06:51:14 AM  1000    405160  314.00   61.00    0.00    0.00  375.00     2  springboot4
06:51:15 AM  1000    405160  300.00   63.00    0.00    0.00  363.00     2  springboot4
06:51:16 AM  1000    405160  316.00   59.00    0.00    0.00  375.00     2  springboot4
06:51:17 AM  1000    405160  308.00   55.00    0.00    0.00  363.00     2  springboot4
06:51:18 AM  1000    405160  316.00   64.00    0.00    0.00  380.00     2  springboot4
06:51:19 AM  1000    405160  305.00   54.00    0.00    0.00  359.00     2  springboot4
06:51:20 AM  1000    405160  321.00   58.00    0.00    0.00  379.00     2  springboot4
06:51:21 AM  1000    405160  303.00   62.00    0.00    0.00  365.00     2  springboot4
06:51:22 AM  1000    405160  316.00   64.00    0.00    0.00  380.00     2  springboot4
06:51:23 AM  1000    405160  304.00   61.00    0.00    0.00  365.00     2  springboot4
06:51:24 AM  1000    405160  321.00   58.00    0.00    0.00  379.00     4  springboot4
06:51:25 AM  1000    405160  302.00   70.00    0.00    0.00  372.00     2  springboot4
06:51:26 AM  1000    405160  274.00   89.00    0.00    0.00  363.00     2  springboot4
06:51:27 AM  1000    405160  287.00   88.00    0.00    0.00  375.00     2  springboot4
06:51:28 AM  1000    405160  231.00  136.00    0.00    0.00  367.00     2  springboot4
06:51:29 AM  1000    405160  267.00  105.00    0.00    0.00  372.00     2  springboot4
06:51:30 AM  1000    405160  248.00  121.00    0.00    0.00  369.00     2  springboot4
06:51:31 AM  1000    405160  272.00  100.00    0.00    0.00  372.00     2  springboot4
06:51:32 AM  1000    405160  285.00   78.00    0.00    0.00  363.00     2  springboot4
06:51:33 AM  1000    405160  271.00  106.00    0.00    0.00  377.00     2  springboot4
06:51:34 AM  1000    405160  260.00  101.00    0.00    0.00  361.00     2  springboot4
06:51:35 AM  1000    405160  259.00  114.00    0.00    0.00  373.00     2  springboot4
06:51:36 AM  1000    405160  255.00  106.00    0.00    0.00  361.00     2  springboot4
06:51:37 AM  1000    405160  280.00   89.00    0.00    0.00  369.00     2  springboot4
06:51:38 AM  1000    405160  273.00   83.00    0.00    0.00  356.00     2  springboot4
06:51:39 AM  1000    405160  254.00  124.00    0.00    0.00  378.00     2  springboot4
06:51:40 AM  1000    405160  265.00   96.00    0.00    0.00  361.00     8  springboot4
06:51:41 AM  1000    405160  255.00  115.00    0.00    0.00  370.00     8  springboot4
06:51:42 AM  1000    405160  275.00   84.00    0.00    0.00  359.00     8  springboot4
06:51:43 AM  1000    405160  240.00  136.00    0.00    0.00  376.00     8  springboot4
06:51:44 AM  1000    405160  289.00   72.00    0.00    0.00  361.00     8  springboot4
06:51:45 AM  1000    405160  290.00   79.00    0.00    0.00  369.00     8  springboot4
06:51:46 AM  1000    405160  257.00  102.00    0.00    0.00  359.00     8  springboot4
06:51:47 AM  1000    405160  221.00  157.00    0.00    0.00  378.00     8  springboot4
06:51:48 AM  1000    405160  243.00  123.00    0.00    0.00  366.00     8  springboot4
06:51:49 AM  1000    405160  288.00   83.00    0.00    0.00  371.00     8  springboot4
06:51:50 AM  1000    405160  263.00   98.00    0.00    0.00  361.00     8  springboot4
06:51:51 AM  1000    405160  260.00  113.00    0.00    0.00  373.00     8  springboot4
06:51:52 AM  1000    405160  252.00  108.00    0.00    0.00  360.00     8  springboot4
06:51:53 AM  1000    405160  278.00   90.00    0.00    0.00  368.00     8  springboot4
06:51:54 AM  1000    405160  256.00  106.00    0.00    0.00  362.00     8  springboot4
06:51:55 AM  1000    405160  282.00   90.00    0.00    0.00  372.00     8  springboot4
06:51:56 AM  1000    405160  273.00   90.00    0.00    0.00  363.00     8  springboot4
06:51:57 AM  1000    405160  269.00  100.00    0.00    0.00  369.00     8  springboot4
06:51:58 AM  1000    405160  258.00  104.00    0.00    0.00  362.00     8  springboot4
06:51:59 AM  1000    405160  282.00   88.00    0.00    0.00  370.00     8  springboot4
06:52:00 AM  1000    405160  280.00   84.00    0.00    0.00  364.00     8  springboot4
06:52:01 AM  1000    405160  284.00   91.00    0.00    0.00  375.00     8  springboot4
06:52:02 AM  1000    405160  277.00   83.00    0.00    0.00  360.00     8  springboot4
06:52:03 AM  1000    405160  250.00  123.00    0.00    0.00  373.00     4  springboot4
06:52:04 AM  1000    405160  263.00  102.00    0.00    0.00  365.00     4  springboot4
06:52:05 AM  1000    405160  254.00  119.00    0.00    0.00  373.00     4  springboot4
06:52:06 AM  1000    405160  284.00   78.00    0.00    0.00  362.00     4  springboot4
06:52:07 AM  1000    405160  283.00   92.00    0.00    0.00  375.00     4  springboot4
06:52:08 AM  1000    405160  258.00  107.00    0.00    0.00  365.00     4  springboot4
06:52:09 AM  1000    405160  264.00  114.00    0.00    0.00  378.00     4  springboot4
06:52:10 AM  1000    405160  242.00  119.00    0.00    0.00  361.00     4  springboot4
06:52:11 AM  1000    405160  285.00   88.00    0.00    0.00  373.00     4  springboot4
06:52:12 AM  1000    405160  265.00   98.00    0.00    0.00  363.00     4  springboot4
06:52:13 AM  1000    405160  250.00  125.00    0.00    0.00  375.00     4  springboot4
06:52:14 AM  1000    405160  258.00  100.00    0.00    0.00  358.00     4  springboot4
06:52:15 AM  1000    405160  262.00  111.00    0.00    0.00  373.00     4  springboot4
06:52:16 AM  1000    405160  266.00   93.00    0.00    0.00  359.00     4  springboot4
06:52:17 AM  1000    405160  245.00  126.00    0.00    0.00  371.00     4  springboot4
06:52:18 AM  1000    405160  255.00  109.00    0.00    0.00  364.00     4  springboot4
06:52:19 AM  1000    405160  269.00  106.00    0.00    0.00  375.00     4  springboot4
06:52:20 AM  1000    405160  298.00   76.00    0.00    0.00  374.00     4  springboot4
06:52:21 AM  1000    405160  230.00  136.00    0.00    0.00  366.00     4  springboot4
06:52:22 AM  1000    405160  289.00   85.00    0.00    0.00  374.00     4  springboot4
06:52:23 AM  1000    405160  238.00  128.00    0.00    0.00  366.00     4  springboot4
06:52:24 AM  1000    405160  253.00  124.00    0.00    0.00  377.00     4  springboot4
06:52:25 AM  1000    405160  302.00   72.00    0.00    0.00  374.00     4  springboot4
06:52:26 AM  1000    405160  284.00   78.00    0.00    0.00  362.00     4  springboot4
06:52:27 AM  1000    405160  271.00   98.00    0.00    0.00  369.00     4  springboot4
06:52:28 AM  1000    405160  250.00  118.00    0.00    0.00  368.00     4  springboot4
06:52:29 AM  1000    405160  284.00   87.00    0.00    0.00  371.00     4  springboot4
06:52:30 AM  1000    405160  271.00   89.00    0.00    0.00  360.00     2  springboot4
06:52:31 AM  1000    405160  281.00   92.00    0.00    0.00  373.00     2  springboot4
06:52:32 AM  1000    405160  257.00  106.00    0.00    0.00  363.00     2  springboot4
06:52:33 AM  1000    405160  241.00  135.00    0.00    0.00  376.00     2  springboot4
06:52:34 AM  1000    405160  257.00  104.00    0.00    0.00  361.00     2  springboot4
06:52:35 AM  1000    405160  265.00  112.00    0.00    0.00  377.00     2  springboot4
06:52:36 AM  1000    405160  238.00  139.00    0.00    0.00  377.00     2  springboot4
06:52:37 AM  1000    405160  265.00   97.00    0.00    0.00  362.00     2  springboot4
06:52:38 AM  1000    405160  259.00  120.00    0.00    0.00  379.00     2  springboot4
06:52:39 AM  1000    405160  250.00  113.00    0.00    0.00  363.00     2  springboot4
06:52:40 AM  1000    405160  262.00  111.00    0.00    0.00  373.00     2  springboot4
06:52:41 AM  1000    405160  273.00   86.00    0.00    0.00  359.00     2  springboot4
06:52:42 AM  1000    405160  280.00   95.00    0.00    0.00  375.00     2  springboot4
06:52:43 AM  1000    405160  277.00   86.00    0.00    0.00  363.00     2  springboot4
06:52:44 AM  1000    405160  261.00   96.00    0.00    0.00  357.00     2  springboot4
06:52:45 AM  1000    405160  264.00  111.00    0.00    0.00  375.00     2  springboot4
06:52:46 AM  1000    405160  248.00  127.00    0.00    0.00  375.00     2  springboot4
06:52:47 AM  1000    405160  284.00   78.00    0.00    0.00  362.00     2  springboot4
06:52:48 AM  1000    405160  285.00   76.00    0.00    0.00  361.00     2  springboot4
06:52:49 AM  1000    405160  253.00  117.00    0.00    0.00  370.00     2  springboot4
06:52:50 AM  1000    405160  232.00  132.00    0.00    0.00  364.00     2  springboot4
06:52:51 AM  1000    405160  269.00  103.00    0.00    0.00  372.00     2  springboot4
06:52:52 AM  1000    405160  285.00   79.00    0.00    0.00  364.00     2  springboot4
06:52:53 AM  1000    405160  240.00  132.00    0.00    0.00  372.00     2  springboot4
06:52:54 AM  1000    405160  273.00  100.00    0.00    0.00  373.00     2  springboot4
06:52:55 AM  1000    405160  236.00  132.00    0.00    0.00  368.00     2  springboot4
06:52:56 AM  1000    405160  262.00  109.00    0.00    0.00  371.00     2  springboot4
06:52:57 AM  1000    405160  264.00   98.00    0.00    0.00  362.00     2  springboot4
06:52:58 AM  1000    405160  261.00  115.00    0.00    0.00  376.00     2  springboot4
06:52:59 AM  1000    405160  274.00   91.00    0.00    0.00  365.00     2  springboot4
06:53:00 AM  1000    405160  269.00  102.00    0.00    0.00  371.00     2  springboot4
06:53:01 AM  1000    405160  272.00   92.00    0.00    0.00  364.00     2  springboot4
06:53:02 AM  1000    405160  284.00   90.00    0.00    0.00  374.00     2  springboot4
06:53:03 AM  1000    405160  244.00  118.00    0.00    0.00  362.00     2  springboot4
06:53:04 AM  1000    405160  263.00  114.00    0.00    0.00  377.00     2  springboot4
06:53:05 AM  1000    405160  225.00  155.00    0.00    0.00  380.00     2  springboot4
06:53:06 AM  1000    405160  221.00  142.00    0.00    0.00  363.00     2  springboot4
06:53:07 AM  1000    405160  243.00  134.00    0.00    0.00  377.00     2  springboot4
06:53:08 AM  1000    405160  280.00   88.00    0.00    0.00  368.00     2  springboot4
06:53:09 AM  1000    405160  175.00   42.00    0.00    0.00  217.00     2  springboot4
06:53:10 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:11 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:12 AM  1000    405160    1.00    0.00    0.00    0.00    1.00     2  springboot4
06:53:13 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:14 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:15 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:16 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:17 AM  1000    405160    1.00    0.00    0.00    0.00    1.00     2  springboot4
06:53:18 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:19 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:20 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:21 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:22 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:23 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:24 AM  1000    405160    1.00    0.00    0.00    0.00    1.00     2  springboot4
06:53:25 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:26 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:27 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:28 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
06:53:29 AM  1000    405160    0.00    0.00    0.00    0.00    0.00     2  springboot4
