Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/28/2026 	_x86_64_	(64 CPU)

04:37:44 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:37:45 AM 100998    328643    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    328644    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    328646    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:45 AM 100998    328647    0.00    0.00    0.00    0.00    0.00    10  postgres
04:37:45 AM 100998    329763    0.00    0.00    0.00    0.00    0.00    10  postgres
04:37:45 AM 100998    329768    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:45 AM 100998    329769    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    329771    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:45 AM 100998    329772    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    329773    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:45 AM 100998    329774    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    329775    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:45 AM 100998    329776    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    329778    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:45 AM 100998    329779    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    329780    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:45 AM 100998    329784    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    329786    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:45 AM 100998    329788    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    329791    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:45 AM 100998    329820    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    329826    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:45 AM 100998    329847    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    329907    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:45 AM 100998    329970    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    330022    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:45 AM 100998    330054    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    330055    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:45 AM 100998    330056    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    330057    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:45 AM 100998    330058    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    330059    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:45 AM 100998    330060    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:45 AM 100998    330064    0.00    0.00    0.00    0.00    0.00    12  postgres

04:37:45 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:37:46 AM 100998    328643    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    328644    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    328646    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:46 AM 100998    328647    0.00    0.00    0.00    0.00    0.00    10  postgres
04:37:46 AM 100998    329763    0.00    0.00    0.00    0.00    0.00    10  postgres
04:37:46 AM 100998    329768    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:46 AM 100998    329769    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    329771    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:46 AM 100998    329772    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    329773    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:46 AM 100998    329774    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    329775    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:46 AM 100998    329776    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    329778    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:46 AM 100998    329779    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    329780    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:46 AM 100998    329784    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    329786    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:46 AM 100998    329788    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    329791    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:46 AM 100998    329820    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    329826    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:46 AM 100998    329847    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    329907    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:46 AM 100998    329970    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    330022    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:46 AM 100998    330054    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    330055    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:46 AM 100998    330056    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    330057    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:46 AM 100998    330058    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    330059    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:46 AM 100998    330060    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:46 AM 100998    330064    0.00    0.00    0.00    0.00    0.00    12  postgres

04:37:46 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:37:47 AM 100998    328643    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:47 AM 100998    328644    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:47 AM 100998    328646    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:47 AM 100998    328647    0.00    0.00    0.00    0.00    0.00    10  postgres
04:37:47 AM 100998    329763    0.00    0.00    0.00    0.00    0.00    10  postgres
04:37:47 AM 100998    329768    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:47 AM 100998    329769    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:47 AM 100998    329771    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:47 AM 100998    329772    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:47 AM 100998    329773    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:47 AM 100998    329774    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:47 AM 100998    329775    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:47 AM 100998    329776    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:47 AM 100998    329778    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:47 AM 100998    329779    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:47 AM 100998    329780    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:47 AM 100998    329784    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:47 AM 100998    329786    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:47 AM 100998    329788    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:47 AM 100998    329791    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:47 AM 100998    329820    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:47 AM 100998    329826    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:47 AM 100998    329847    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:47 AM 100998    329907    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:47 AM 100998    329970    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:47 AM 100998    330022    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:47 AM 100998    330054    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:47 AM 100998    330055    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:47 AM 100998    330056    0.00    0.00    0.00    0.00    0.00    14  postgres
04:37:47 AM 100998    330057    0.00    0.00    0.00    0.00    0.00    12  postgres
04:37:47 AM 100998    330058    0.00    0.00    0.00    0.00    0.00    14  postgres
