procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2440 390410592      0 998492    0    0     2     2    0    0  0  0 100  0  0
 0  0   2440 390355680      0 1042340    0    0 44268     0 3774 5261  0  0 100  0  0
 0  0   2440 390334752      0 1042700    0    0   400   888 8450 6216  0  1 99  0  0
 1  0   2440 390326272      0 1042716    0    0    16    16 3480 3183  0  0 100  0  0
 0  0   2440 390315712      0 1042740    0    0     4   132 9025 5158  0  1 99  0  0
 1  0   2440 390233792      0 1088684    0    0 46948    32 5245 7108  2  0 97  0  0
 0  1   2440 390209696      0 1113700    0    0 26520     4 5779 8485  3  0 97  0  0
 0  0   2440 390117728      0 1121428    0    0  8808   824 4562 5826  2  0 97  0  0
 2  0   2440 390098656      0 1122496    0    0   736     0 1177 1992  0  0 100  0  0
61  0   2440 390047968      0 1132956    0    0 10504     4 15029 65379  7  2 92  0  0
14  0   2440 390022336      0 1134400    0    0  1204    12 14576 69165  7  2 91  0  0
77  0   2440 389996640      0 1135220    0    0   244    52 14072 72055  6  2 92  0  0
42  0   2440 389958240      0 1135724    0    0   156     4 16637 111329  5  2 93  0  0
38  0   2440 389930368      0 1137088    0    0   972     0 12927 68939  6  2 93  0  0
22  0   2440 389898624      0 1137516    0    0   120   164 13375 70442  6  2 93  0  0
 0  0   2440 389773568      0 1138288    0    0    16     8 13419 72643  6  2 92  0  0
35  0   2440 389753696      0 1139016    0    0   372    12 12676 69241  6  2 93  0  0
36  0   2440 389747520      0 1139492    0    0   260 51712 13069 71934  6  2 93  0  0
34  0   2440 389758880      0 1139856    0    0     0    12 12344 68303  6  2 93  0  0
34  0   2440 389751648      0 1141928    0    0    16     0 13752 72382  6  2 92  0  0
11  0   2440 389708096      0 1143636    0    0   228    32 13006 69167  6  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
54  0   2440 389677792      0 1145428    0    0   752    16 13722 72682  6  2 92  0  0
16  0   2440 389670784      0 1145952    0    0   156  1232 12461 68713  5  2 93  0  0
48  0   2440 389658464      0 1146544    0    0   236    40 13423 73134  6  2 92  0  0
11  0   2440 389657504      0 1147536    0    0   180   132 12372 68563  6  2 93  0  0
45  0   2440 389655840      0 1147900    0    0     0    40 12924 72737  6  2 93  0  0
30  0   2440 389654592      0 1148264    0    0     0     0 12674 68196  6  2 93  0  0
25  0   2440 389652160      0 1148924    0    0     0    56 12786 71619  6  2 93  0  0
 1  0   2440 389652480      0 1149780    0    0   156   148 12886 69584  6  2 93  0  0
19  0   2440 389644736      0 1154564    0    0  1340    52 13691 73162  6  2 92  0  0
 1  0   2440 389645120      0 1155044    0    0     0     4 12679 69913  5  2 93  0  0
43  0   2440 389619840      0 1155776    0    0   428     8 13119 71162  6  2 93  0  0
65  0   2440 389612064      0 1156508    0    0    32    32 13188 69359  5  2 93  0  0
39  0   2440 389606080      0 1157060    0    0   192    16 13051 112162  6  2 93  0  0
10  0   2440 389605888      0 1157840    0    0   248   248 13410 70086  5  2 93  0  0
17  0   2440 389604288      0 1158700    0    0     0    48 13330 71283  6  2 93  0  0
35  0   2440 389582624      0 1159512    0    0    36     4 12955 69705  6  2 93  0  0
47  0   2440 389582208      0 1159872    0    0     0     8 13219 502744  5  2 93  0  0
 1  0   2440 389561408      0 1160536    0    0     0    28 15930 158855  5  2 93  0  0
77  0   2440 389558400      0 1162356    0    0   488   328 23791 653884  6  2 92  0  0
 9  0   2440 389558592      0 1163124    0    0    64     4 13658 99408  6  2 93  0  0
14  0   2440 389558592      0 1163824    0    0     0     8 15081 456165  5  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
26  0   2440 389558688      0 1164580    0    0    32     4 13945 70051  6  2 93  0  0
19  0   2440 389558624      0 1165728    0    0     0     0 14166 72004  6  2 92  0  0
59  0   2440 389559072      0 1166084    0    0     0   164 12717 68764  5  2 93  0  0
14  0   2440 389557440      0 1166436    0    0     0     8 13407 71720  6  2 93  0  0
36  0   2440 389550784      0 1166692    0    0     0    16 13561 73673  6  2 93  0  0
 5  0   2440 389547648      0 1167452    0    0   112     0 13923 71320  6  2 92  0  0
45  0   2440 389544192      0 1167828    0    0    24    16 13261 68899  5  2 93  0  0
 1  0   2440 389545600      0 1173840    0    0    84    36 15054 75114  7  2 92  0  0
27  0   2440 389542848      0 1174972    0    0    76     0 13638 68253  6  2 93  0  0
99  0   2440 389543040      0 1175672    0    0   336    16 19421 284131  5  2 93  0  0
 4  0   2440 389542656      0 1176044    0    0     0     4 19368 596109  5  2 93  0  0
67  0   2440 389535904      0 1177340    0    0   272  6124 22230 667882  5  3 92  0  0
75  0   2440 389510880      0 1178004    0    0    16   608 25918 1233014  4  3 93  0  0
46  0   2440 389507968      0 1178244    0    0     0     0 16098 285046  5  2 92  0  0
18  0   2440 389507328      0 1178968    0    0    16     8 19234 791290  4  3 93  0  0
81  0   2440 389495904      0 1179688    0    0     0   364 18361 948961  5  3 93  0  0
84  0   2440 389500544      0 1180056    0    0    76  2524 25264 390246  5  2 93  0  0
21  0   2440 389487360      0 1183292    0    0    16     4 20352 457823  5  2 92  0  0
63  0   2440 389471808      0 1183964    0    0    36    12 22951 594314  5  2 93  0  0
90  0   2440 389473248      0 1184948    0    0     0     0 19085 457632  5  2 93  0  0
95  0   2440 389472000      0 1185308    0    0     0     8 20535 939487  5  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
42  0   2440 389478624      0 1185552    0    0     0  4956 22386 414342  5  2 93  0  0
67  0   2440 389474080      0 1186244    0    0     0   140 30269 1053702  4  3 93  0  0
77  0   2440 389474720      0 1187060    0    0   124     0 19978 750795  5  3 92  0  0
62  0   2440 389482240      0 1187304    0    0    68   204 22987 1431133  4  3 93  0  0
42  0   2440 389465408      0 1187596    0    0     0     8 15455 724937  5  3 93  0  0
79  0   2440 389464864      0 1187840    0    0     0  2900 19908 597050  5  2 93  0  0
 1  0   2440 389463168      0 1190636    0    0     0    40 23109 666888  5  3 92  0  0
