procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0   2440 389743360      0 931772    0    0     2     2    0    0  0  0 100  0  0
 3  0   2440 389670304      0 981688    0    0 50692   124 8011 7126  5  0 95  0  0
 3  0   2440 389649440      0 992208    0    0 10916   888 12758 8922  5  1 94  0  0
 3  0   2440 389574112      0 1002240    0    0  9500     8 8520 6988  4  0 96  0  0
 3  0   2440 389521792      0 1006588    0    0  4684     4 13232 8218  4  1 95  0  0
 3  0   2440 389513760      0 1010960    0    0  3872    32 5137 3932  5  0 95  0  0
 4  0   2440 389442848      0 1021484    0    0 10640     4 8002 7891  6  0 94  0  0
 3  0   2440 389442368      0 1035652    0    0 15840   808 6718 9603  4  0 96  0  0
 3  0   2440 389358464      0 1045172    0    0 11304     0 4452 5936  3  0 97  0  0
 0  0   2440 389349184      0 1046240    0    0   984     4 1318 1933  1  0 99  0  0
 7  0   2440 389292224      0 1049332    0    0  2248    12 6284 11129  5  0 95  0  0
 8  0   2440 389263840      0 1053520    0    0  4176    44 8967 17083  7  0 93  0  0
 8  0   2440 389250752      0 1053916    0    0   348   128 9570 24617  7  1 93  0  0
 7  0   2440 389213600      0 1054228    0    0   160     0 10817 28212  7  1 92  0  0
 6  0   2440 389190336      0 1054424    0    0    96     8 12582 39369  7  1 92  0  0
 7  0   2440 389163424      0 1054636    0    0    80    24 12850 45188  7  1 92  0  0
 7  0   2440 389160672      0 1055060    0    0   348     4 14324 54736  7  1 92  0  0
 7  0   2440 389150336      0 1055836    0    0   348    84 12435 48813  6  1 93  0  0
 6  0   2440 389055552      0 1056388    0    0     0   392 12843 47704  6  1 93  0  0
 7  0   2440 389034880      0 1056552    0    0     0     0 12746 52473  6  1 93  0  0
 6  0   2440 389031488      0 1057288    0    0   112    16 13206 54469  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   2440 389019296      0 1059224    0    0   748   136 14609 60875  6  1 92  0  0
 6  0   2440 389012384      0 1059744    0    0    16    12 14480 62511  6  1 93  0  0
 7  0   2440 389011488      0 1047992    0    0   364    40 15012 68197  6  1 92  0  0
 7  0   2440 389011616      0 1048212    0    0     4    12 13420 65012  6  1 93  0  0
10  0   2440 389006912      0 1048568    0    0     0     4 16190 76141  6  1 92  0  0
 7  0   2440 388960384      0 1052800    0    0   680     0 17709 77520  7  1 92  0  0
 6  0   2440 388948992      0 1053084    0    0   136 27548 18961 92496  6  2 92  0  0
10  0   2440 388945408      0 1054072    0    0   744    36 20014 91426  6  1 92  0  0
 7  0   2440 388907008      0 1055192    0    0   244    44 22985 106339  7  2 92  0  0
 7  0   2440 388880832      0 1055612    0    0     0    12 22869 118544  6  2 92  0  0
 9  0   2440 388857376      0 1057428    0    0   652     0 26843 148236  7  2 90  0  0
 7  0   2440 388848512      0 1060216    0    0   156   624 26629 155467  7  2 91  0  0
 7  0   2440 388845472      0 1060960    0    0   132    16 31307 188133  7  3 90  0  0
 7  0   2440 388846464      0 1061776    0    0     0    16 33079 199888  7  3 90  0  0
 8  0   2440 388820512      0 1062636    0    0   384    40 31447 199755  7  3 90  0  0
 5  0   2440 388821792      0 1063868    0    0   320     4 32448 209255  7  3 90  0  0
 5  0   2440 388796352      0 1065972    0    0     0    20 31345 207739  7  3 90  0  0
 7  0   2440 388796832      0 1066944    0    0   136   344 31730 204265  7  3 90  0  0
 6  0   2440 388795424      0 1067884    0    0     0    20 31813 202823  7  3 90  0  0
 6  0   2440 388793088      0 1068916    0    0    84     4 31657 208791  7  3 90  0  0
 7  0   2440 388731968      0 1070428    0    0   760   128 33522 204158  7  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0   2440 388709568      0 1078776    0    0    32    12 35234 206885  8  3 89  0  0
 8  0   2440 388716256      0 1079708    0    0     0   108 33383 206690  7  3 90  0  0
 6  0   2440 388683840      0 1080964    0    0     0     8 32211 206151  7  3 90  0  0
 9  0   2440 388684256      0 1082268    0    0     0     8 33574 204780  7  3 90  0  0
 6  0   2440 388660544      0 1084360    0    0     4    12 32159 206787  7  3 90  0  0
 9  0   2440 388643296      0 1085396    0    0    16   712 32326 210841  7  3 90  0  0
 8  0   2440 388634304      0 1087392    0    0     0   696 30051 197434  7  3 90  0  0
10  0   2440 388600032      0 1088656    0    0    16     4 31730 209895  7  3 90  0  0
 7  0   2440 388585280      0 1091096    0    0    84     0 31858 208541  7  3 90  0  0
13  0   2440 388535520      0 1093028    0    0   172    16 32385 203764  7  3 90  0  0
 6  0   2440 388539744      0 1098712    0    0    64   136 30977 189798  7  3 90  0  0
 9  0   2440 388539104      0 1100000    0    0   360 47108 32374 202843  7  3 90  0  0
 8  0   2440 388539360      0 1100512    0    0     0     4 32120 208932  7  3 90  0  0
 7  0   2440 388539488      0 1101460    0    0     0     0 31636 207067  7  3 90  0  0
