procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
27  0   1988 388349824      0 1261380    0    0    20     8 39225 153374  7  5 88  0  0
31  0   1988 388350432      0 1264464    0    0    80    12 45092 164589  7  6 87  0  0
25  0   1988 388351712      0 1270760    0    0   144     0 45553 165457  8  6 87  0  0
20  0   1988 388357056      0 1273848    0    0    16     4 47622 168538  7  6 88  0  0
17  0   1988 388359744      0 1276348    0    0    84 48616 44686 169441  6  5 88  0  0
41  0   1988 388364576      0 1279460    0    0     0     8 22920 187085  7  5 88  0  0
17  0   1988 388307680      0 1284656    0    0     0     4 22493 171840  8  5 87  0  0
31  0   1988 388312800      0 1287744    0    0     0     4 36968 180341  7  5 88  0  0
32  0   1988 388259936      0 1292028    0    0   144     8 47143 167933  8  6 86  0  0
28  0   1988 388236832      0 1296232    0    0     0 46020 46487 169545  7  6 87  0  0
20  0   1988 388243200      0 1306208    0    0   144    16 43635 172467  8  6 86  0  0
21  0   1988 388204928      0 1309412    0    0    96     8 24374 190749  9  5 86  0  0
25  0   1988 388207520      0 1311932    0    0     4   952 25903 190408  8  5 86  0  0
40  0   1988 388196192      0 1315772    0    0    80     4 41804 176472  8  6 86  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
29  0   1988 388079808      0 1320144    0    0    16     0 51781 169966  8  6 86  0  0
35  0   1988 388081856      0 1323164    0    0    12 36956 51434 172488  8  6 86  0  0
31  0   1988 388040096      0 1311636    0    0     0    16 47936 171614  6  6 88  0  0
25  0   1988 388049120      0 1314608    0    0     0     8 47573 169880  8  6 86  0  0
21  0   1988 388050336      0 1321468    0    0    28 38464 26120 191599  8  5 86  0  0
22  0   1988 388059168      0 1324512    0    0     0    24 34004 189379  7  5 88  0  0
31  0   1988 388059296      0 1332360    0    0     0     8 48895 171919  7  6 87  0  0
16  0   1988 388061216      0 1336464    0    0     0     8 42975 179490  8  6 87  0  0
26  0   1988 388070080      0 1341052    0    0    16     0 23257 192523  9  5 86  0  0
24  0   1988 388048160      0 1347176    0    0    16 52184 22772 193456  8  5 87  0  0
26  0   1988 388051904      0 1349776    0    0     0   388 25733 194093  7  5 88  0  0
35  0   1988 388051360      0 1353288    0    0    16    12 27256 192026  8  5 87  0  0
32  0   1988 388060640      0 1356328    0    0     0   200 26953 193242  8  5 87  0  0
24  0   1988 388064608      0 1359448    0    0     0     8 24551 196977  7  5 88  0  0
21  0   1988 388068800      0 1363072    0    0    44     4 22893 194347  8  5 87  0  0
19  0   1988 388071680      0 1370248    0    0  1200    16 23019 190766  9  5 86  0  0
29  0   1988 388081824      0 1378276    0    0     0    24 36643 181803  7  5 88  0  0
21  0   1988 388080576      0 1381444    0    0     0    12 31689 197569  7  5 87  0  0
14  0   1988 388084000      0 1384028    0    0    16     0 24820 193833  7  5 88  0  0
22  0   1988 388086560      0 1387072    0    0     0     0 24751 196612  7  5 88  0  0
24  0   1988 388090624      0 1391220    0    0    16 49524 22900 194610  8  5 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0   1988 388094144      0 1394440    0    0     0     8 24859 197541  7  5 88  0  0
32  0   1988 388100064      0 1398688    0    0    16     4 23414 196058  8  5 87  0  0
26  0   1988 388078944      0 1402188    0    0     0     4 25755 196014  8  5 86  0  0
33  0   1988 387865920      0 1408696    0    0    16 37712 24107 195858  8  5 86  0  0
42  0   1988 387862560      0 1411808    0    0     0     0 27123 195079  7  5 88  0  0
18  0   1988 387854400      0 1449024    0    0 27816    48 32327 199370 10  6 84  0  0
30  0   1988 387788064      0 1507224    0    0 50320     8 32333 190091  9  5 86  0  0
31  0   1988 387752896      0 1443276    0    0 32940    28 33690 198081  9  6 85  0  0
34  0   1988 387757184      0 1447984    0    0    16     4 27884 193888  8  5 87  0  0
30  0   1988 387785536      0 1450568    0    0     0 42640 24394 195389  7  5 88  0  0
32  0   1988 387821888      0 1453760    0    0     0  5308 27454 193943  7  5 88  0  0
20  0   1988 387838080      0 1456604    0    0   380     0 48256 175403  7  6 88  0  0
31  0   1988 387830432      0 1460620    0    0    16    16 24096 187104  8  5 86  0  0
22  0   1988 387799200      0 1462940    0    0    16     4 22788 192632  9  5 86  0  0
32  0   1988 387772064      0 1471396    0    0     0     4 22055 186780  9  5 86  0  0
11  0   1988 387774624      0 1479344    0    0     0 31492 24511 167817  8  4 88  0  0
36  0   1988 387779328      0 1483320    0    0     0     8 25905 193691  8  5 87  0  0
23  0   1988 387781760      0 1486224    0    0   132   964 27294 190593  8  5 87  0  0
19  0   1988 387787648      0 1490460    0    0     0    92 30796 184831  7  5 88  0  0
12  0   1988 387789376      0 1493004    0    0     0   404 23031 185014  7  5 88  0  0
27  0   1988 387786496      0 1496032    0    0     0    12 27437 183598  7  5 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
23  0   1988 387785696      0 1498572    0    0     0     0 25288 189373  8  5 87  0  0
23  0   1988 387785984      0 1503632    0    0     0     8 23341 189087  8  5 87  0  0
29  0   1988 387788160      0 1507864    0    0     0   204 22548 191322  8  5 87  0  0
18  0   1988 387790784      0 1510856    0    0     0    16 23470 189200  8  5 87  0  0
30  0   1988 387797536      0 1519360    0    0     0 53104 25073 189254  8  5 87  0  0
26  0   1988 387825056      0 1522568    0    0    92    12 28161 191192  7  5 88  0  0
33  0   1988 387813152      0 1525248    0    0     0     0 35416 180796  8  6 86  0  0
14  0   1988 387696128      0 1531916    0    0    32    16 23079 190511  8  5 87  0  0
 4  0   1988 387669120      0 1534912    0    0    16     0 19376 147268  7  4 89  0  0
 2  0   1988 387811264      0 1537696    0    0     4 26088 8335 2506  1  0 98  0  0
 3  0   1988 387847424      0 1541960    0    0    16     4 5462 1797  2  0 98  0  0
 0  0   1988 387880192      0 1545400    0    0     0     4 4226 1909  1  0 99  0  0
 0  0   1988 387880192      0 1545400    0    0     0     0  901 1775  0  0 100  0  0
 1  0   1988 387880704      0 1545400    0    0     0     8 1076 1671  0  0 100  0  0
 3  0   1988 387880704      0 1551060    0    0    28     8 1549 2353  0  0 100  0  0
 1  0   1988 387897728      0 1552052    0    0     0    12 3233 2563  1  0 99  0  0
 0  0   1988 387899008      0 1552060    0    0     0     4  948 1685  0  0 100  0  0
 3  0   1988 387899744      0 1552064    0    0     0     4 3582 2003  2  0 98  0  0
 0  0   1988 387900000      0 1555636    0    0    16     0 1380 1917  0  0 99  0  0
 0  0   1988 387900000      0 1555644    0    0     0     0 1023 1980  0  0 100  0  0
 0  0   1988 387899776      0 1556376    0    0     0 41148 1660 2282  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1988 387900032      0 1556384    0    0     0     8  927 1734  0  0 100  0  0
 0  0   1988 387900032      0 1556396    0    0     0     4  892 1688  0  0 100  0  0
 3  0   1988 387900032      0 1556400    0    0     0     8 1279 1999  0  0 100  0  0
 1  0   1988 387938848      0 1556412    0    0     0     0 4122 2283  2  0 98  0  0
 2  0   1988 387937600      0 1556424    0    0     0    16 2827 2307  2  0 98  0  0
 0  0   1988 387933856      0 1544700    0    0     0     8 2272 1905  2  0 98  0  0
 0  0   1988 387934112      0 1544712    0    0     0   300  971 1856  0  0 100  0  0
 0  0   1988 387934848      0 1544716    0    0     0   360  909 1674  0  0 100  0  0
 0  0   1988 387934848      0 1544728    0    0     0     4 1056 2103  0  0 100  0  0
 0  0   1988 387934848      0 1544840    0    0   104     0  879 1615  0  0 100  0  0
 0  0   1988 387935104      0 1544848    0    0     0     8  971 1812  0  0 100  0  0
 0  0   1988 387935616      0 1544860    0    0     0   200  911 1814  0  0 100  0  0
 0  0   1988 387935872      0 1544864    0    0     0     8  935 1816  0  0 100  0  0
 0  0   1988 387939680      0 1544872    0    0     0     4 1123 1931  0  0 100  0  0
 1  0   1988 387938976      0 1544916    0    0     0     4 1588 2339  0  0 100  0  0
 0  0   1988 387939520      0 1545008    0    0     0 21544 1034 1789  0  0 100  0  0
 0  0   1988 387939520      0 1545016    0    0     0   468  933 1752  0  0 100  0  0
 0  0   1988 387939520      0 1545024    0    0     0     8 1185 1833  0  0 100  0  0
 0  0   1988 387939776      0 1545028    0    0     0     8 1006 1902  0  0 100  0  0
 2  0   1988 387959168      0 1545036    0    0     0   376 3777 5539  3  0 97  0  0
 2  0   1988 387863168      0 1545248    0    0     0     4 3857 5524  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1988 387856864      0 1545256    0    0     0     0 2219 2678  1  0 99  0  0
27  0   1988 387822144      0 1545364    0    0     0     0 12133 68809  5  2 93  0  0
25  0   1988 387968352      0 1545640    0    0    64     4 24667 155958  9  4 86  0  0
34  0   1988 387970464      0 1546000    0    0     0     8 21305 164191  9  4 86  0  0
27  0   1988 387973248      0 1552532    0    0     0     8 23998 186456  9  5 86  0  0
15  0   1988 387975168      0 1552892    0    0    16     8 22455 192519  7  5 88  0  0
33  0   1988 387974848      0 1558624    0    0     0     8 23142 192509  7  5 88  0  0
31  0   1988 387990464      0 1558628    0    0     0     8 23470 198026  7  5 88  0  0
24  0   1988 387998976      0 1562672    0    0     0     8 23620 191227  7  5 88  0  0
25  0   1988 387976576      0 1566104    0    0     0    92 22589 194786  7  5 88  0  0
28  0   1988 387953632      0 1569240    0    0     0    12 24852 198496  8  5 87  0  0
25  0   1988 387948192      0 1571760    0    0   100     4 25489 197575  8  5 87  0  0
23  0   1988 387885600      0 1582708    0    0    16     8 23028 197942  9  5 86  0  0
41  0   1988 387822528      0 1585424    0    0     0    20 23888 198855  7  5 88  0  0
33  0   1988 387822496      0 1588628    0    0     0     8 26640 198362  7  5 88  0  0
22  0   1988 387823072      0 1592880    0    0    16 44976 27078 196603  8  5 86  0  0
31  0   1988 387829760      0 1596012    0    0     0     8 23192 198565  7  5 88  0  0
19  0   1988 387831808      0 1598440    0    0     0   244 27873 198455  7  5 87  0  0
19  0   1988 387834016      0 1603092    0    0     0     8 22716 192880  8  5 87  0  0
28  0   1988 387778016      0 1607828    0    0    16     0 25671 196249  8  5 87  0  0
30  0   1988 387769472      0 1612344    0    0     0    16 22607 194432  8  5 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0   1988 387774080      0 1614856    0    0     0 44820 26612 192825  8  5 87  0  0
18  0   1988 387756736      0 1625476    0    0    76   208 22883 196811  8  5 87  0  0
33  0   1988 387737504      0 1627880    0    0    48     4 24746 199833  7  5 88  0  0
25  0   1988 387739200      0 1632884    0    0   112     8 24254 195639  8  5 86  0  0
29  0   1988 387648384      0 1627056    0    0     0     0 22884 195038  9  5 86  0  0
