procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   2084 389558880      0 923464    0    0     2     1    0    0  0  0 100  0  0
 0  0   2084 389512384      0 968316    0    0 45728     0 5572 7520  1  0 99  0  0
 0  0   2084 389509920      0 969192    0    0   980    24 7910 6100  0  1 99  0  0
 1  0   2084 389511008      0 969268    0    0    80    12 3721 3318  0  0 100  0  0
 0  0   2084 389509312      0 969612    0    0    68     4 8940 5339  0  1 99  0  0
 3  0   2084 389461760      0 977144    0    0 10160    32 5111 7016  3  0 97  0  0
 1  0   2084 389434336      0 1000172    0    0 22396   132 5101 7997  3  0 97  0  0
 0  0   2084 389377344      0 1004724    0    0  5780    16 3723 4424  2  0 98  0  0
 9  0   2084 389360512      0 1005932    0    0  1416     0 2455 5277  1  0 98  0  0
17  0   2084 389226304      0 1012772    0    0  6400     4 8546 18987  6  1 93  0  0
 9  0   2084 389133888      0 1014112    0    0  1224    12 10661 22713  7  1 93  0  0
17  0   2084 389034400      0 1018504    0    0   476    48 11139 27570  7  1 92  0  0
17  0   2084 389016128      0 1019064    0    0    24     4 11619 33908  8  1 91  0  0
20  0   2084 388995552      0 1019900    0    0   404     8 12395 45427  7  1 92  0  0
17  0   2084 388936960      0 1021396    0    0   268     8 12407 57818  6  2 92  0  0
12  0   2084 388895680      0 1021544    0    0   140     8 14777 60646  7  2 91  0  0
14  0   2084 388809792      0 1022832    0    0     4   600 13072 64760  6  2 92  0  0
22  0   2084 388768256      0 1024412    0    0   128    40 14521 63579  7  2 92  0  0
18  0   2084 388766528      0 1025988    0    0    20    12 13142 65078  7  2 91  0  0
16  0   2084 388744064      0 1028324    0    0   176     0 14251 64046  7  2 91  0  0
17  0   2084 388732096      0 1033844    0    0   152    52 14839 67906  7  2 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0   2084 388712256      0 1036388    0    0   780   196 16665 71531  7  2 91  0  0
17  0   2084 388658528      0 1039012    0    0   128    12 15603 72162  7  2 91  0  0
19  0   2084 388656160      0 1041500    0    0   264    40 15840 72121  7  2 91  0  0
18  0   2084 388655776      0 1043996    0    0    96     4 14949 75844  7  2 91  0  0
12  0   2084 388640288      0 1047988    0    0    96    12 15101 75111  8  2 90  0  0
14  0   2084 388640128      0 1050984    0    0   292   124 16506 78627  8  2 90  0  0
16  0   2084 388577952      0 1057012    0    0   148 35152 18729 77540  9  2 89  0  0
18  0   2084 388499104      0 1060952    0    0   180    36 16278 85325  7  2 90  0  0
18  0   2084 388499264      0 1063868    0    0     0    52 17401 87222  7  3 90  0  0
16  0   2084 388499040      0 1072584    0    0     4     8 16384 91165  8  3 90  0  0
20  0   2084 388496704      0 1077612    0    0   444     0 18851 93106  8  3 89  0  0
20  0   2084 388496704      0 1080772    0    0   124 40120 18633 95217  7  3 90  0  0
19  0   2084 388497472      0 1083640    0    0     0     8 17943 94174  7  3 90  0  0
19  0   2084 388497120      0 1086832    0    0    24    12 18747 99728  7  3 90  0  0
15  0   2084 388369856      0 1092652    0    0    68    40 20365 104198  8  3 89  0  0
18  0   2084 388310944      0 1095840    0    0    68   136 21122 106566  7  3 90  0  0
21  0   2084 388310016      0 1099704    0    0    48     8 21643 105722  7  3 89  0  0
15  0   2084 388310848      0 1102628    0    0    36 24196 22838 115275  7  3 90  0  0
15  0   2084 388240576      0 1106032    0    0   600    12 23155 110716  9  4 87  0  0
19  0   2084 388056608      0 1120516    0    0   132     8 26015 117604  9  4 88  0  0
21  0   2084 388055936      0 1124332    0    0    16     0 28142 121085  8  4 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
24  0   2084 388058048      0 1127432    0    0     0    12 29327 134402  7  4 89  0  0
18  0   2084 388059680      0 1131160    0    0    16 46928 30138 131874  7  4 88  0  0
15  0   2084 388061120      0 1134348    0    0   180    12 29646 132439  7  4 88  0  0
25  0   2084 388065088      0 1139848    0    0     0     8 34345 143770  8  4 88  0  0
22  0   2084 388067008      0 1144596    0    0     0   136 35796 144132  8  5 87  0  0
22  0   2084 388068480      0 1147304    0    0     0     0 33719 141568  7  4 89  0  0
20  0   2084 388071680      0 1151392    0    0     0    20 35489 145469  8  5 88  0  0
22  0   2084 388069920      0 1154088    0    0     8 40928 34056 139230  7  4 89  0  0
20  0   2084 388072192      0 1162664    0    0     0   348 37569 150219  8  5 87  0  0
27  0   2084 388050048      0 1167624    0    0   364   592 38412 153176  8  5 88  0  0
24  0   2084 388010912      0 1172320    0    0     0    12 37420 146205  7  5 88  0  0
21  0   2084 388008928      0 1175200    0    0   284     8 43316 158689  7  5 88  0  0
31  0   2084 388008448      0 1179996    0    0     0    12 40220 155214  8  5 87  0  0
