procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  2 1070632 387685248      0 983844 97508 36256 97508 36256 77643 288895  7  5 85  4  0
 6  3 1141800 387679744      0 981000 70028 100888 70096 101284 83555 290965  7  5 85  3  0
 8  1 1159464 387670016      0 981220 83092 79564 83204 79764 73009 279480  7  5 85  4  0
 7  3 1176104 387667296      0 981240 76176 79872 76180 79884 82456 290585  7  5 85  4  0
10  2 1227560 387663520      0 981248 62376 106728 62392 106740 83285 301693  7  5 85  4  0
 8  2 1273384 387660416      0 981252 65148 100492 65148 100492 84436 295286  7  5 85  3  0
 7  2 1262888 387657824      0 975580 77216 57424 77216 57424 73159 283231  7  5 86  3  0
 6  2 1264424 387655776      0 975876 43260 39296 43552 39296 69154 293734  6  5 87  2  0
 8  1 1269800 387653280      0 975864 40716 34888 40724 35220 67085 287541  6  5 88  1  0
 6  1 1282088 387665440      0 976120 62308 62464 62560 62520 76287 294249  6  5 87  2  0
 7  0 1288744 387661920      0 976128 38144 38796 38148 38848 68097 288707  6  5 88  1  0
 7  1 1294888 387658464      0 976236 48648 49100 48756 49152 68542 282469  6  4 88  1  0
 8  1 1308968 387663424      0 976356 50012 52140 50128 52244 65693 275022  7  4 87  2  0
 8  3 1307604 387661504      0 978512 38988 40024 41276 40164 66780 287171  6  5 88  1  0
 8  1 1313104 387654336      0 983260 47632 51456 52260 51504 71460 295820  6  5 87  2  0
 8  1 1313956 387651552      0 983272 41360 41212 41364 41212 68159 293636  6  4 88  1  0
 7  1 1324932 387651488      0 983704 45780 47000 46200 47000 70690 293746  6  5 88  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  2 1337832 387650272      0 983716 42408 42868 42408 42868 70225 294710  6  5 88  1  0
12  1 1354864 387644480      0 984092 40488 45768 40856 45768 67688 290862  7  5 88  1  0
 7  1 1367784 387645440      0 984092 37608 37832 37608 37840 68753 291269  6  4 88  1  0
 8  1 1380192 387639936      0 984212 35848 37588 35848 37608 66160 287977  6  5 88  1  0
 7  1 1452836 387638976      0 984380 15596 85104 15760 85104 68196 284970  6  5 88  1  0
 7  0 1547052 387636768      0 984940 14152 106580 15608 106720 74339 292582  7  5 88  1  0
 7  0 1645872 387631200      0 984948 6720 105912  6724 106088 68178 287658  7  5 88  1  0
 8  0 1742400 387623744      0 984968 4804 101692  4812 101692 65440 273871  7  4 88  0  0
10  0 1861340 387622880      0 985036  288 122196   352 122196 69574 284699  7  5 89  0  0
 8  0 1963032 387615456      0 982640 16216 112972 16388 112972 75654 289328  7  5 88  1  0
 7  0 2036356 387613728      0 982004  520 77508   520 77508 67868 282981  7  5 89  0  0
15  0 126184 389094016      0 982068 5300 62796 12120 62920 64130 273372  6  5 88  0  0
 7  0 125928 389086176      0 982344  228    0   496     0 52728 255484  6  4 90  0  0
 6  0 125928 389095808      0 982352   48    0    48     0 57310 271918  6  4 89  0  0
 5  0 125928 389107680      0 982328   60    0    60    60 56893 283508  6  4 89  0  0
 9  0 122856 389123168      0 982564 4252    0  4364   152 60142 289178  6  4 89  0  0
 9  0 122856 389129280      0 982572   84    0    84  1064 53747 272971  6  4 90  0  0
10  0 122600 389144096      0 982656  244    0   324    24 56858 283018  6  4 89  0  0
 8  0 122600 389154688      0 982664  120    0   120     0 55154 278472  6  4 89  0  0
 9  0 122600 389172800      0 982672  176    0   176     0 59905 293660  6  4 89  0  0
 8  0 122344 389181216      0 982680  116    0   116   124 57153 284776  6  4 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 122088 389182720      0 982692  128    0   128     0 56760 284084  6  4 89  0  0
 8  0 122088 389184224      0 982696  212    0   212     8 56942 279497  6  4 90  0  0
 9  0 122088 389181568      0 982708  140    0   140    12 55607 278620  6  4 90  0  0
 7  0 121576 389181632      0 982712  132    0   132     8 60020 290677  6  4 89  0  0
11  0 118760 389192896      0 983296 3380    0  3380     0 56028 283208  7  4 89  0  0
 9  0 116968 389194176      0 983300 1776    0  1776     0 56733 282549  6  4 89  0  0
 8  0 116712 389194016      0 983308  288    0   288     0 59490 290535  6  4 90  0  0
 6  0 115944 389205344      0 983320 1084    0  1084    12 56246 282494  6  4 89  0  0
 7  0 114664 389206528      0 983508 2828    0  3008    12 59979 290027  6  4 89  0  0
 6  0 114664 389210240      0 983516  152    0   152   588 59652 290710  6  4 89  0  0
10  0 114152 389200800      0 991652 5456    0 13584     0 55186 275090  6  4 89  0  0
10  0 114152 389199872      0 991660  132    0   132     0 52473 265280  6  4 90  0  0
10  0 113640 389204224      0 991664  228    0   228     0 58765 280424  6  4 89  0  0
 7  0 113384 389206912      0 991672  148    0   148     4 55922 284928  6  4 89  0  0
 9  0 110568 389204320      0 991800 3320    0  3320    16 57366 280771  6  4 89  0  0
 7  0 110568 389202368      0 991808  212    0   212     0 55191 270064  6  4 90  0  0
13  0 110312 389200800      0 991816  204    0   204     0 56269 277354  6  4 90  0  0
 6  0 110312 389200256      0 991820  156    0   156     0 60988 292858  6  4 89  0  0
 9  0 110312 389204832      0 991832  152    0   152     0 60156 289187  6  5 89  0  0
 7  0 110056 389207424      0 991836  164    0   164   136 63375 285952  6  5 89  0  0
 8  0 108264 389209600      0 991812 1140    0  1140    24 60038 293215  6  4 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 107752 389207520      0 991816  232    0   232    44 61652 296029  6  4 89  0  0
 8  0 107752 389211488      0 991828  136    0   136   204 56926 284822  6  4 89  0  0
 8  0 107496 389207616      0 991840  208    0   208   100 62476 298492  6  5 89  0  0
 9  0 103912 389203904      0 991956 4172    0  4172    20 61083 292336  6  4 89  0  0
 6  0 103912 389203904      0 991964   96    0    96     8 59569 286195  6  4 89  0  0
10  0 103912 389199552      0 991972  112    0   112    16 59629 288757  6  4 89  0  0
 7  0 103912 389198720      0 991980  188    0   188     0 61207 295294  6  4 89  0  0
 7  0 103400 389203040      0 991984  200    0   200     0 61536 296126  6  4 89  0  0
 0  0 103144 389203840      0 992360  140    0   148   124 52041 248027  6  4 91  0  0
 0  0 103144 389315328      0 992088  152    0   172     0 1399 2017  0  0 100  0  0
 0  0 102888 389315840      0 992096  196    0   196     4  835 1330  0  0 100  0  0
 0  0 102888 389315840      0 992104  120    0   120    20  882 1339  0  0 100  0  0
 0  0 102632 389322112      0 992108  212    0   212     0  631 1144  0  0 100  0  0
 0  0 100072 389321760      0 992120 2964    0  2964     0 1814 2134  0  0 100  0  0
 0  0  99816 389321760      0 992124  196    0   196     4  870 1932  0  0 100  0  0
 0  0  99560 389322368      0 992184  176    0   176     0  718 1309  0  0 100  0  0
 0  0  99304 389324160      0 992192  192    0   192     4  649 1187  0  0 100  0  0
 0  0  98792 389323648      0 992328  816    0   948    16  888 1605  0  0 100  0  0
 0  0  98536 389323904      0 992340  124    0   124   136  690 1262  0  0 100  0  0
 0  0  98536 389324160      0 992344  172    0   172     0  715 1245  0  0 100  0  0
 0  0  98536 389324672      0 992320  196    0   196    80  731 1288  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  98280 389324672      0 992296   96    0    96     0  657 1288  0  0 100  0  0
 0  0  98024 389325408      0 992304  132    0   132    12  573 1143  0  0 100  0  0
 0  0  97256 389301216      0 992356 42748    0 42748    12 8517 10793  0  0 98  1  0
 0  0  96744 389301216      0 992364  152    0   152     0  608 1270  0  0 100  0  0
