procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 391223744      0 295604    0    0     1     1    0    0  0  0 100  0  0
 4  0      0 391121504      0 355484    0    0 60032     0 9276 7210  5  0 94  1  0
 1  0      0 391047872      0 360700    0    0  5400   632 10215 7053  3  1 96  0  0
 3  0      0 391012608      0 363492    0    0  2796     0 10916 4374  5  1 95  0  0
 3  0      0 390945408      0 376060    0    0 13996    16 5279 7394  3  0 97  0  0
 4  0      0 390879424      0 388696    0    0 12312    32 3615 4690  2  0 97  0  0
 0  0      0 390832032      0 391688    0    0  3988     4 2485 2639  2  0 98  0  0
 3  0      0 390787008      0 393284    0    0  1644   340 2796 4163  2  0 98  0  0
 7  0      0 390768640      0 394608    0    0   844    12 8193 18203  6  0 93  0  0
 7  0      0 390706880      0 394616    0    0   208     4 9759 26396  6  1 93  0  0
 9  0      0 390703680      0 394832    0    0     0     4 11488 34174  7  1 92  0  0
 6  0      0 390696608      0 394856    0    0    16    44 13648 48377  7  1 92  0  0
 6  0      0 390677024      0 394988    0    0    68     4 15579 65514  6  1 92  0  0
 7  0      0 390672032      0 395056    0    0    60    12 15927 68404  7  1 92  0  0
 6  0      0 390669504      0 395064    0    0     0    16 15649 71827  6  1 93  0  0
 8  0      0 390655680      0 395072    0    0     0     0 15993 77632  6  2 93  0  0
 6  0      0 390653216      0 395084    0    0     0     4 16765 89069  6  2 92  0  0
 6  0      0 390652224      0 395088    0    0     0    40 18640 95722  6  2 92  0  0
 8  0      0 390648320      0 395100    0    0     0     4 19070 98268  6  2 92  0  0
 6  0      0 390645056      0 395072    0    0     0    16 15983 88970  6  2 92  0  0
 6  0      0 390645056      0 395084    0    0     0     0 20073 99245  6  2 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 390648672      0 395088    0    0     0     0 17446 105703  6  2 92  0  0
 6  0      0 390644928      0 395168    0    0     0     4 27356 138979  6  2 92  0  0
 8  0      0 390645664      0 395172    0    0     0    40 33435 171500  6  3 92  0  0
 5  0      0 390631520      0 395172    0    0     0     4 35660 220629  5  4 90  0  0
 6  0      0 390633760      0 395172    0    0     0     0 43448 217396  5  5 90  0  0
 8  0      0 390641664      0 395172    0    0     0    16 41729 221574  5  5 90  0  0
 9  0      0 390644352      0 395044    0    0     4     8 37638 230960  5  5 90  0  0
 6  0      0 390645120      0 395044    0    0     4    36 37939 230231  5  5 90  0  0
11  0      0 390650208      0 395044    0    0     0    76 41442 218521  5  5 90  0  0
10  0      0 390661088      0 395044    0    0     0    44 40611 225511  5  5 90  0  0
 6  0      0 390664512      0 395044    0    0     0     0 39057 224782  5  5 90  0  0
 5  0      0 390668384      0 397532    0    0     8   696 37662 233326  5  5 90  0  0
 6  0      0 390676768      0 397532    0    0     0     0 42286 223707  5  5 90  0  0
 6  0      0 390677120      0 397636    0    0     0     4 39850 227150  5  5 90  0  0
 8  0      0 390679904      0 397644    0    0     0    40 39271 229729  5  5 90  0  0
 8  0      0 390681088      0 397652    0    0     0     4 37599 233785  5  5 90  0  0
 7  0      0 390686624      0 397660    0    0    16    20 39874 229207  5  5 90  0  0
 8  0      0 390688000      0 397668    0    0    36   300 38109 233142  5  5 90  0  0
 8  0      0 390684928      0 397676    0    0     0     0 42934 234148  5  5 90  0  0
 6  0      0 390689984      0 397684    0    0     0     4 39189 226613  5  5 90  0  0
 6  0      0 390699008      0 397696    0    0     0    44 40312 222879  5  5 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 390698208      0 397768    0    0     0     4 40053 222859  5  5 90  0  0
 8  0      0 390701632      0 397784    0    0     0     4 42141 219524  5  5 90  0  0
 6  0      0 390702816      0 397788    0    0     0    16 41574 225216  5  5 90  0  0
 5  0      0 390708224      0 397796    0    0     0     0 42528 225580  5  5 90  0  0
 5  0      0 390705664      0 397796    0    0     0     4 39473 228190  5  5 90  0  0
 5  0      0 390705152      0 397796    0    0     0    40 39626 229587  5  5 90  0  0
 7  0      0 390708704      0 397796    0    0     0     8 40094 220441  5  5 90  0  0
 7  0      0 390714464      0 397796    0    0     0     0 37569 229480  5  5 90  0  0
 6  0      0 390721120      0 397796    0    0     0    16 39316 223711  5  5 90  0  0
 5  0      0 390723264      0 397796    0    0     0     0 38828 234681  5  5 90  0  0
 7  0      0 390726048      0 397796    0    0     0     8 38865 237867  5  5 90  0  0
 9  0      0 390730560      0 397796    0    0     0    40 38535 235633  5  5 90  0  0
 6  0      0 390736448      0 397796    0    0     0     4 38794 238854  5  5 90  0  0
 7  0      0 390738976      0 397956    0    0     0     0 39406 229529  5  5 90  0  0
 6  0      0 390740800      0 397964    0    0     0    16 38048 235371  5  5 90  0  0
 6  0      0 390739520      0 397972    0    0     0     0 37086 239310  5  5 90  0  0
 6  0      0 390744160      0 397980    0    0     0    16 37786 220523  5  5 90  0  0
 5  0      0 390746592      0 397988    0    0     0   356 39448 227479  5  5 90  0  0
 5  0      0 390746496      0 397996    0    0     8   236 37469 235886  5  5 90  0  0
 6  0      0 390746144      0 398004    0    0     0    16 40077 231784  5  5 90  0  0
 7  0      0 390746592      0 398084    0    0     4     0 38130 237114  5  5 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 390747520      0 398092    0    0     4    52 36883 234672  5  5 90  0  0
 5  0      0 390745760      0 398104    0    0     0     4 35696 230504  5  4 90  0  0
 8  0      0 390744032      0 398108    0    0    16    40 35487 237680  5  5 90  0  0
10  0      0 390744736      0 398120    0    0     0     4 35651 227988  5  5 90  0  0
 7  0      0 390743808      0 398124    0    0     0     0 36838 229460  5  5 90  0  0
 8  0      0 390741376      0 398104    0    0     0    16 35158 205895  5  4 91  0  0
 8  0      0 390742624      0 398108    0    0     0    12 37439 225506  5  4 90  0  0
 6  0      0 390739264      0 398120    0    0     0     8 40049 234865  5  5 90  0  0
 8  0      0 390740640      0 398128    0    0     0    44 38400 231688  5  5 90  0  0
 7  0      0 390738656      0 398136    0    0     0     4 41751 226753  5  5 90  0  0
 5  0      0 390748384      0 398144    0    0     0   280 39982 229195  5  5 90  0  0
 5  0      0 390745664      0 398152    0    0     0    16 36959 234524  5  5 90  0  0
 5  0      0 390743168      0 398160    0    0     0     0 40289 231060  5  5 90  0  0
 9  0      0 390742560      0 398240    0    0     0     4 41186 226130  5  5 90  0  0
 6  0      0 390745920      0 398248    0    0     0    40 41455 216717  5  5 90  0  0
 8  0      0 390750656      0 398248    0    0     0     4 41811 225329  5  5 90  0  0
 7  0      0 390749152      0 398248    0    0     0    16 40977 234720  5  5 90  0  0
 6  0      0 390749440      0 398248    0    0     0     0 41126 226652  5  5 90  0  0
 6  0      0 390746176      0 398248    0    0     0     0 40971 228713  5  5 90  0  0
 8  0      0 390747008      0 398316    0    0     0     4 38699 232041  5  5 90  0  0
 7  0      0 390745472      0 398316    0    0     0    44 36142 240429  5  5 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 390746752      0 398316    0    0     0     4 39343 226779  5  5 90  0  0
 5  0      0 390744832      0 398316    0    0     0     0 40938 228323  5  5 90  0  0
 7  0      0 390747776      0 398316    0    0     0    20 40603 220862  5  5 90  0  0
 6  0      0 390747712      0 398408    0    0     0     0 40078 222055  5  5 90  0  0
 6  0      0 390751552      0 398412    0    0     0     4 37504 226198  5  5 90  0  0
 7  0      0 390751424      0 398424    0    0     0   136 42697 224560  5  5 90  0  0
 6  0      0 390750976      0 398428    0    0     0    12 39637 231967  5  5 90  0  0
 7  0      0 390749472      0 398440    0    0     0     0 37902 223100  5  5 90  0  0
 6  0      0 390753888      0 398948    0    0     0    16 41312 219467  5  5 90  0  0
 8  0      0 390752160      0 398960    0    0     0     0 40475 218188  5  5 90  0  0
 7  0      0 390751232      0 398964    0    0     0     4 38756 223828  5  5 90  0  0
 7  0      0 390748512      0 398976    0    0     0    40 38657 228662  5  5 90  0  0
 4  0      0 390745280      0 398984    0    0     0     4 37318 237434  5  5 90  0  0
 7  0      0 390747680      0 398924    0    0     0     0 35738 239429  5  5 90  0  0
 7  0      0 390747072      0 398924    0    0     0    16 41805 224294  5  5 90  0  0
 5  0      0 390747872      0 398924    0    0     0    12 38332 232958  5  5 90  0  0
 7  0      0 390747616      0 398988    0    0     0     8 37063 236105  5  5 90  0  0
 7  0      0 390746944      0 398988    0    0     0    40 37265 237358  5  5 90  0  0
 5  0      0 390748928      0 399060    0    0     0     4 40581 232777  5  5 90  0  0
 7  0      0 390746112      0 399060    0    0     0    16 39932 220380  5  5 90  0  0
 8  0      0 390745920      0 399060    0    0     0     0 35348 219641  5  4 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 390746016      0 399060    0    0     0     4 38552 230475  5  5 90  0  0
 8  0      0 390743328      0 399060    0    0     0     4 39273 218598  5  5 90  0  0
 6  0      0 390741888      0 399060    0    0     0    44 41911 226195  5  5 90  0  0
 5  0      0 390743200      0 399156    0    0     0     4 37240 232129  5  5 90  0  0
 7  0      0 390744384      0 399168    0    0     0     0 38361 232407  5  5 90  0  0
 8  0      0 390744000      0 399176    0    0     0    16 42667 227952  5  5 90  0  0
 6  0      0 390743488      0 399184    0    0     0     0 36629 232131  5  5 90  0  0
 4  0      0 390743584      0 399196    0    0     0     4 41502 232241  5  5 90  0  0
 6  0      0 390740512      0 399200    0    0     0    40 37814 234394  5  5 90  0  0
 8  0      0 390739648      0 399212    0    0     0   672 40935 227475  5  5 90  0  0
 9  0      0 390740064      0 399216    0    0     0     0 40574 234976  5  5 90  0  0
 5  0      0 390742080      0 399228    0    0     0    16 41858 218467  5  5 90  0  0
 8  0      0 390739808      0 399232    0    0     0     0 39622 220201  5  5 90  0  0
 7  0      0 390743264      0 399308    0    0     0     4 38971 222122  5  5 90  0  0
 6  0      0 390745184      0 399308    0    0     0   100 40229 231034  5  5 90  0  0
 7  0      0 390742080      0 399308    0    0     0    40 41826 226170  5  5 90  0  0
 6  0      0 390742176      0 399308    0    0     0    16 43170 222699  5  5 90  0  0
 8  0      0 390740000      0 399376    0    0     0     0 42874 225927  5  5 90  0  0
 5  0      0 390741280      0 399376    0    0     0     0 40318 223429  5  5 90  0  0
