procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 391177664      0 294756    0    0     1     1    0    0  0  0 100  0  0
 4  0      0 391063904      0 356580    0    0 61168     0 9015 7216  5  0 94  1  0
 4  0      0 390993568      0 360792    0    0  4548   736 9434 7471  3  1 96  0  0
 3  0      0 390960192      0 365148    0    0  4468    20 10398 5496  5  1 94  0  0
 3  0      0 390907552      0 377924    0    0 14140     4 5257 6605  3  0 96  0  0
 3  0      0 390849888      0 388932    0    0 11908    32 3784 5017  2  0 97  0  0
 0  0      0 390827008      0 392080    0    0  2668     4 2137 2361  2  0 98  0  0
 4  0      0 390781056      0 393796    0    0  1856   340 3421 8359  2  0 98  0  0
67  0      0 390763168      0 394548    0    0   636    88 9402 57807  6  1 93  0  0
69  0      0 390716832      0 394888    0    0   188     4 9810 30309  7  1 93  0  0
57  0      0 390715584      0 395084    0    0     0     4 11071 30102  7  1 92  0  0
60  0      0 390713600      0 395108    0    0    16    44 11300 31331  7  1 92  0  0
46  0      0 390713344      0 395172    0    0    56     4 11204 31775  6  1 93  0  0
67  0      0 390711584      0 395240    0    0    60   292 12257 46212  7  1 92  0  0
63  0      0 390692160      0 395248    0    0     0    16 12423 35333  6  1 93  0  0
41  0      0 390691648      0 395256    0    0     0     0 12392 36774  6  1 93  0  0
16  0      0 390691168      0 395268    0    0     0    60 12426 37861  6  1 93  0  0
71  0      0 390681088      0 395272    0    0     0    64 12669 51365  6  1 93  0  0
47  0      0 390680832      0 395284    0    0     0    36 13059 43200  6  1 93  0  0
71  0      0 390680576      0 395288    0    0     0     0 13117 114749  6  1 93  0  0
47  0      0 390680320      0 395300    0    0     0    16 13767 44459  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
54  0      0 390674272      0 395304    0    0     0     0 13929 45562  6  1 93  0  0
60  0      0 390673024      0 395384    0    0     0     4 14314 47310  6  1 93  0  0
66  0      0 390669504      0 397976    0    0     4    64 14874 49287  6  1 93  0  0
77  0      0 390664960      0 397988    0    0     0     4 14398 51945  6  2 93  0  0
42  0      0 390664512      0 397996    0    0     0     0 14678 103878  6  2 93  0  0
43  0      0 390663744      0 398004    0    0     0    16 14682 50489  6  2 93  0  0
56  0      0 390663232      0 398012    0    0     4    12 15252 52729  6  2 93  0  0
55  0      0 390662912      0 398020    0    0     0    28 15233 115658  6  2 93  0  0
49  0      0 390662432      0 398032    0    0     0    44 14957 53330  6  2 93  0  0
 7  0      0 390661440      0 398036    0    0     0     4 15956 56309  5  2 93  0  0
53  0      0 390660192      0 398048    0    0    16    20 15313 55964  5  2 93  0  0
53  0      0 390660256      0 398056    0    0     0     0 16179 118754  5  2 93  0  0
68  0      0 390659520      0 398056    0    0     0    20 16529 59284  5  2 93  0  0
69  0      0 390659040      0 398056    0    0     0     4 16617 61778  5  2 93  0  0
73  0      0 390658528      0 398056    0    0     0    40 16803 62915  5  2 93  0  0
55  0      0 390658016      0 398056    0    0     0     4 17541 65350  5  2 93  0  0
69  0      0 390657760      0 398056    0    0     0     4 17172 64639  5  2 93  0  0
50  0      0 390653216      0 398056    0    0     0    40 18041 178946  5  2 92  0  0
37  0      0 390653472      0 398056    0    0     0     0 17827 67802  5  2 93  0  0
64  0      0 390651968      0 398056    0    0     0     4 18910 73111  5  2 92  0  0
67  0      0 390649696      0 398056    0    0     0    44 19186 75070  5  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
45  0      0 390649696      0 398056    0    0     0     4 20275 80401  5  2 92  0  0
79  0      0 390643584      0 398292    0    0     0    24 19824 238954  5  3 92  0  0
42  0      0 390643136      0 398296    0    0     0   684 19152 533705  5  3 93  0  0
53  0      0 390636928      0 398308    0    0     0     0 20600 261315  5  3 92  0  0
65  0      0 390616672      0 398312    0    0     0   316 20344 495023  5  3 93  0  0
35  0      0 390615008      0 398324    0    0     0   372 21339 352565  5  3 92  0  0
65  0      0 390606720      0 398336    0    0     0    28 19662 566761  5  3 93  0  0
68  0      0 390606496      0 398344    0    0     0    16 18381 753156  4  3 93  0  0
43  0      0 390606784      0 398352    0    0     0     0 20891 293759  5  3 92  0  0
50  0      0 390606464      0 398360    0    0     0     0 20681 565904  5  3 92  0  0
57  0      0 390606464      0 398368    0    0     0     8 20144 331383  5  3 92  0  0
72  0      0 390605760      0 398412    0    0     0    60 19258 498982  5  3 92  0  0
57  0      0 390605600      0 398420    0    0     4    60 20406 590821  4  3 92  0  0
51  0      0 390605120      0 398432    0    0     0     0 20624 531495  5  3 92  0  0
54  0      0 390605280      0 398248    0    0     8    16 20947 410331  5  3 93  0  0
47  0      0 390604576      0 398256    0    0     0     0 20327 303172  5  3 92  0  0
54  0      0 390604544      0 398264    0    0     0     4 21278 321513  5  3 92  0  0
39  0      0 390604320      0 398272    0    0     0    64 20381 331629  5  3 92  0  0
50  0      0 390604384      0 398280    0    0     0     4 20304 419060  5  3 92  0  0
38  0      0 390604000      0 398288    0    0     0     0 20075 424263  5  3 92  0  0
60  0      0 390603776      0 398300    0    0    20    16 20820 475756  5  3 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
42  0      0 390604160      0 398308    0    0     0     0 20309 444785  5  3 92  0  0
53  0      0 390603040      0 398388    0    0     0    24 21882 343501  5  3 92  0  0
53  0      0 390589216      0 398392    0    0     0    40 20798 268149  5  3 92  0  0
49  0      0 390589760      0 398404    0    0     0     4 20497 416416  5  3 92  0  0
75  0      0 390589248      0 398408    0    0     0     0 21164 316528  5  3 92  0  0
34  0      0 390582496      0 398420    0    0     0    16 21168 224075  5  3 92  0  0
66  0      0 390581600      0 398424    0    0     0    24 20868 451675  5  3 92  0  0
43  0      0 390579328      0 398436    0    0     0     4 21392 390994  5  3 92  0  0
58  0      0 390575808      0 398444    0    0     0    44 20922 398839  5  3 92  0  0
31  0      0 390575328      0 398452    0    0     0     4 21078 281071  5  3 92  0  0
66  0      0 390574816      0 398532    0    0     0    16 21513 321958  5  3 92  0  0
76  0      0 390574656      0 398540    0    0     0    24 21900 629724  4  3 92  0  0
66  0      0 390573984      0 398548    0    0     0     0 21421 338959  5  3 92  0  0
47  0      0 390573056      0 398556    0    0     0    68 22731 316138  5  3 92  0  0
68  0      0 390572544      0 401516    0    0  3160    72 22667 491408  5  3 92  0  0
69  0      0 390571584      0 401524    0    0     0     4 21928 442056  5  3 92  0  0
62  0      0 390570816      0 401532    0    0     0    24 21257 726637  4  3 93  0  0
73  0      0 390570624      0 401544    0    0     0    16 20927 846881  4  3 92  0  0
46  0      0 390569600      0 401548    0    0     0     0 21864 477474  5  3 92  0  0
41  0      0 390569344      0 401560    0    0     0   136 19784 1145240  4  3 93  0  0
49  0      0 390567424      0 401568    0    0     0    40 22498 360443  5  3 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
47  0      0 390567776      0 401576    0    0     0    24 22195 268398  5  3 92  0  0
68  0      0 390568544      0 402080    0    0     0   664 22707 165614  5  3 92  0  0
54  0      0 390567680      0 402080    0    0     0    20 20872 753903  4  3 92  0  0
39  0      0 390566016      0 402072    0    0     0     0 22686 238689  5  3 92  0  0
53  0      0 390564768      0 402072    0    0     0     4 22173 294330  5  3 92  0  0
67  0      0 390564064      0 402072    0    0     0    64 21815 484302  5  3 92  0  0
55  0      0 390563584      0 402072    0    0     0     8 22027 292740  5  3 92  0  0
39  0      0 390563136      0 402072    0    0     0    16 22916 162400  5  3 92  0  0
69  0      0 390562368      0 402072    0    0     0     0 21845 209612  5  3 92  0  0
53  0      0 390561216      0 402140    0    0     0     0 23224 172078  5  3 92  0  0
69  0      0 390560608      0 402140    0    0     0    24 22100 266153  5  3 92  0  0
35  0      0 390560160      0 402236    0    0     0    44 21746 392882  5  3 92  0  0
65  0      0 390559936      0 402244    0    0     0     4 20403 527893  5  3 92  0  0
26  0      0 390558464      0 402252    0    0     0    16 20741 582413  4  3 92  0  0
40  0      0 390557696      0 402260    0    0     0     0 21338 263969  5  3 92  0  0
60  0      0 390556672      0 402272    0    0     0     0 20915 923172  4  3 92  0  0
18  0      0 390555968      0 402280    0    0     0    28 21008 916327  4  3 93  0  0
10  0      0 390555488      0 402288    0    0     0    40 19530 449068  5  3 92  0  0
53  0      0 390554336      0 402296    0    0     0     4 20489 390963  5  3 92  0  0
71  0      0 390552864      0 402308    0    0     0     0 22147 589138  5  3 92  0  0
52  0      0 390552352      0 402312    0    0     0    16 20459 1057037  4  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
53  0      0 390551872      0 402324    0    0     0    24 21899 484558  5  3 92  0  0
64  0      0 390551872      0 402396    0    0     0    92 21749 426184  5  3 92  0  0
65  0      0 390551456      0 402408    0    0     0    68 21697 848555  4  3 92  0  0
63  0      0 390550880      0 402412    0    0     0    12 21592 417827  5  3 92  0  0
